"","x"
"1",-0.12299282575644
"2",-0.0808530113105322
"3",0.0756748850452743
"4",0.0471901486574159
"5",0.0896059284958773
"6",0.0995534638209098
"7",0.0456571118799618
"8",0.0566255941906681
"9",-0.0104460399737774
"10",0.0075979870872543
"11",-0.0871691657309862
"12",-0.120444076405627
"13",-0.122927854710968
"14",-0.0807287699509304
"15",0.075873464654634
"16",0.0469973449880824
"17",0.0894372872417945
"18",0.0988798663135908
"19",0.04615686459913
"20",0.0571108077740548
"21",-0.0108305807430555
"22",0.00675493759679055
"23",-0.0875523456370579
"24",-0.119171022126067
"25",-0.122894222483523
"26",-0.0806644564766158
"27",0.0759762592847547
"28",0.0468975402702718
"29",0.0893499901855034
"30",0.0985311789189566
"31",0.0464155613308055
"32",0.0573619783297561
"33",-0.0110296380695945
"34",0.00631853347239356
"35",-0.0877506985134753
"36",-0.118512026249235
"37",-0.122803930558118
"38",-0.0804917950781145
"39",0.0762522304522933
"40",0.046629596074474
"41",0.0891156251168315
"42",0.0975950632163157
"43",0.0471100804802496
"44",0.0580362920699463
"45",-0.0115640442224018
"46",0.00514692601014543
"47",-0.0882832134398413
"48",-0.116742830121782
"49",-0.122669016028824
"50",-0.0802338037771045
"51",0.0766645875927574
"52",0.0462292328649092
"53",0.0887654359633626
"54",0.0961963156669706
"55",0.0481478335651702
"56",0.0590438541575385
"57",-0.0123625558748453
"58",0.0033963058015637
"59",-0.0890788992147328
"60",-0.114099290716767
"61",-0.12249986091725
"62",-0.0799103356707708
"63",0.0771815987587808
"64",0.0457272596249719
"65",0.0883263706852398
"66",0.0944425735087884
"67",0.0494489628044393
"68",0.0603071300866537
"69",-0.0133637254921545
"70",0.00120138759477715
"71",-0.0900765257619583
"72",-0.110784835221518
"73",-0.122311536025344
"74",-0.0795502100109924
"75",0.0777572010627834
"76",0.0451683994446824
"77",0.087837547614669
"78",0.0924900856454403
"79",0.0508975446478236
"80",0.0617135688314541
"81",-0.0144783542976655
"82",-0.00124227331614857
"83",-0.0911872099731598
"84",-0.107094763623544
"85",-0.121919527442612
"86",-0.0788005887152299
"87",0.0789553488016469
"88",0.0440051013537983
"89",0.0868200356057071
"90",0.088425875161289
"91",0.0539128471373039
"92",0.0646411481517846
"93",-0.0167985152381423
"94",-0.00632888741518055
"95",-0.0934991600244171
"96",-0.0994136773759493
"97",-0.121385417112856
"98",-0.0777792323084876
"99",0.0805878209262114
"100",0.0424201117533265
"101",0.0854336790345087
"102",0.0828884025203664
"103",0.0580211862857595
"104",0.0686299647875564
"105",-0.0199597264452212
"106",-0.0132593814233427
"107",-0.096649183923509
"108",-0.0889482240943133
"109",-0.120659158774242
"110",-0.076390439458454
"111",0.0828075804533538
"112",0.0402649167499158
"113",0.0835485759686569
"114",0.0753588052512816
"115",0.0636075144247157
"116",0.0740537717831218
"117",-0.0242581941425454
"118",-0.0226831442373784
"119",-0.100932439640724
"120",-0.0747177883777024
"121",-0.119820843356158
"122",-0.0747873646339638
"123",0.085369834870417
"124",0.0377771887552393
"125",0.0813726133934152
"126",0.0666674386300259
"127",0.0700557777497218
"128",0.0803144379777056
"129",-0.0292198882852668
"130",-0.0335609341963222
"131",-0.105876574690783
"132",-0.0582916862140322
"133",-0.119161560520568
"134",-0.0735266461822281
"135",0.0873848882991676
"136",0.0358207457134834
"137",0.0796613544259706
"138",0.0598322203964034
"139",0.0751269350227897
"140",0.0852380617980595
"141",-0.0331219515339907
"142",-0.0421156381351771
"143",-0.109764828807345
