,data,nuovi_positivi,nuovi_positivi_Tikhonov,Rt,Rt_interv_cred_min,Rt_interv_cred_max
14,2020-03-09 23:59:00,1797,1533.5739171142602,2.599501304884708,2.4697350767142714,2.726742418421338
15,2020-03-10 23:59:00,977,1786.696270354389,2.516642385184804,2.3996620334552925,2.6320775071143045
16,2020-03-11 23:59:00,2313,2068.1999695749787,2.438737201307874,2.336581734572544,2.5445359547147124
17,2020-03-12 23:59:00,2651,2375.459675401488,2.364514327629453,2.27402242242624,2.4612109687854558
18,2020-03-13 23:59:00,2547,2705.4037727684304,2.28886424470632,2.2028103852184757,2.3734991609231946
19,2020-03-14 23:59:00,3497,3056.0261719478035,2.2139963690611344,2.136886113240921,2.2910342967923576
20,2020-03-15 23:59:00,3590,3425.14272847816,2.1391022146765204,2.0676361491335595,2.2110493046023225
21,2020-03-16 23:59:00,3233,3810.731603112705,2.068465735965944,2.0049254972356163,2.1362855143226955
22,2020-03-17 23:59:00,3526,4206.863970707115,1.998306148126817,1.940478528403295,2.0612137700805575
23,2020-03-18 23:59:00,4207,4597.986156102399,1.9251481113689337,1.8691613647370813,1.981475505425481
24,2020-03-19 23:59:00,5322,4958.978971896596,1.8440191683410954,1.7927477880050433,1.895456853246481
25,2020-03-20 23:59:00,5986,5262.025850184803,1.751575062047092,1.7054363148486507,1.8007303736160594
26,2020-03-21 23:59:00,6557,5487.390718634382,1.6503384037240347,1.606677925011371,1.6928152478853227
27,2020-03-22 23:59:00,5560,5630.565773440974,1.5465442654425217,1.5061606050244851,1.5871146014508826
28,2020-03-23 23:59:00,4789,5702.179395809905,1.4460199691318414,1.4073721339059944,1.4830834982068788
29,2020-03-24 23:59:00,5249,5717.208025200879,1.3540042764536864,1.3182209975730903,1.3893845643141203
30,2020-03-25 23:59:00,5210,5684.893701548698,1.2716210641052217,1.2388130750493456,1.305139948935898
31,2020-03-26 23:59:00,6153,5607.793450508319,1.1974298042051248,1.1663918042037675,1.2292153802338452
32,2020-03-27 23:59:00,5959,5485.510607506072,1.1294703215465982,1.098584739999257,1.1580537782517641
33,2020-03-28 23:59:00,5974,5323.17523025608,1.0669499309963626,1.0388074312672215,1.0966866927416785
34,2020-03-29 23:59:00,5217,5134.472391300935,1.010662199769047,0.9828735145437374,1.0383027614481752
35,2020-03-30 23:59:00,4050,4939.935526318343,0.9630908721250023,0.9363422944970548,0.9900301017338683
36,2020-03-31 23:59:00,4053,4758.731550523786,0.9258850690373206,0.8984421956795918,0.9511521979623861
37,2020-04-01 23:59:00,4782,4599.620791322276,0.8991156136481316,0.8733764293954909,0.925375956364536
38,2020-04-02 23:59:00,4668,4460.816121963365,0.8803376127983834,0.8540506928657537,0.9067373340430144
39,2020-04-03 23:59:00,4585,4336.899631729642,0.8678701028662226,0.8416236941994932,0.8933063098717344
40,2020-04-04 23:59:00,4805,4223.915191362948,0.8599173238385969,0.8348085233951965,0.8866229744125186
41,2020-04-05 23:59:00,4316,4122.389473074751,0.855387151157398,0.8302818145622797,0.8812041852047834
42,2020-04-06 23:59:00,3599,4037.8718246939193,0.8557403621613642,0.8297765122693702,0.8824084541431617
43,2020-04-07 23:59:00,3039,3975.6633578489223,0.8613107694806857,0.8342564198004886,0.8873694544529123
44,2020-04-08 23:59:00,3836,3933.6098464775155,0.8711617981548467,0.8441901260126405,0.8982614213207025
45,2020-04-09 23:59:00,4204,3899.2833600849153,0.881840754951304,0.8542172019963851,0.9090068143423607
46,2020-04-10 23:59:00,3951,3856.530623666478,0.8902819056595349,0.8624996060365345,0.9167895281453712
47,2020-04-11 23:59:00,4694,3792.9974269265877,0.8920846849943604,0.8645704075707431,0.9211452426843983
48,2020-04-12 23:59:00,4092,3704.605836030739,0.887496003496425,0.8600768745589914,0.9166124475988296
49,2020-04-13 23:59:00,3153,3599.086648649403,0.8780138169557375,0.8496567479570987,0.9059917840835549
50,2020-04-14 23:59:00,2972,3490.5020338946847,0.8680629446217044,0.8394488884620034,0.8965588205805836
51,2020-04-15 23:59:00,2667,3389.8940255530656,0.859849794181879,0.8321915718125528,0.8891194144471288
52,2020-04-16 23:59:00,3786,3300.393997905949,0.8549172026916234,0.8271013439847157,0.8844965746759816
